央视,#genre#
CCTV-16,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch23071910174599459267.rsc/61601_Uni.sdp
CCTV-17,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch19073116244855666953.rsc/54690_Uni.sdp
CCTV-5+,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch17092110522954055086.rsc/51995_Uni.sdp
CCTV-4K,rtsp://27.148.239.102:1554/iptv/import/Tvod/iptv/001/001/ch24012916163414875758.rsc/62563_Uni.sdp?
中国教育1,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch17081012040985783403.rsc/30992_Uni.sdp
中国教育2,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch19011415055733660637.rsc/51797_Uni.sdp
中国教育4,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch20021410003517423887.rsc/56565_Uni.sdp
中国天气,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102717162146737823.rsc/30987_Uni.sdp
CGTN,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102717162043740968.rsc/30943_Uni.sdp
CGTN法语,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch21062417080668650696.rsc/58108_Uni.sdp
CGTN俄语,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch21062417084640600620.rsc/58146_Uni.sdp
CGTN纪录,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch21062417072087321230.rsc/58070_Uni.sdp
本地,#genre#
福建综合,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch18122115512978075826.rsc/50917_Uni.sdp
东南卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch16042815324509410461.rsc/30938_Uni.sdp
福建公共,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch15102710565314111610.rsc/30986_Uni.sdp
福建新闻,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch15102712014936453054.rsc/31029_Uni.sdp?
福建电视剧,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15102717162032881873.rsc/31042_Uni.sdp
福建旅游,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102717162061906016.rsc/31043_Uni.sdp
福建经济,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15102717162009517302.rsc/30946_Uni.sdp
福建文体,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch17041318323608461611.rsc/30960_Uni.sdp
福建少儿,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch15102717162041774825.rsc/30907_Uni.sdp
海峡卫视,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch17033111334107910034.rsc/53901_Uni.sdp
福建教育,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch17092110554866036216.rsc/32846_Uni.sdp
福州新闻,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch18021018575987660580.rsc/44784_Uni.sdp
厦门一套,rtsp://27.148.239.102:1554/iptv/import/Tvod/iptv/001/001/ch18021018582713742946.rsc/44845_Uni.sdp
厦门卫视,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102712173616484873.rsc/31357_Uni.sdp
莆田新闻,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch18021018571856751097.rsc/44967_Uni.sdp
宁德新闻,rtsp://27.148.239.106:1554/iptv/import/Tvod/iptv/001/001/ch18021018574362353141.rsc/44906_Uni.sdp
宁德文化旅游,http://lu1.cc/itv/fjtv/ndxl.php?id=ndwhly
泉州新闻,rtmp://live.qztv.cn/live/news
泉州闽南语,rtmp://live.qztv.cn/live/mny
漳州新闻,rtsp://27.148.239.106:1554/iptv/import/Tvod/iptv/001/001/ch18021018563878531243.rsc/45264_Uni.sdp
龙岩综合,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch18021018573041536970.rsc/45325_Uni.sdp
三明新闻,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch18021018570726044306.rsc/45447_Uni.sdp
南平新闻综合,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch18021018565597819147.rsc/45386_Uni.sdp
平潭综合,rtsp://27.148.239.99:1554/iptv/import/Tvod/iptv/001/001/ch18111517242607846812.rsc/48823_Uni.sdp
卫视,#genre#
凤凰中文,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch18011614354694706611.rsc/41718_Uni.sdp
凤凰资讯,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch18011614353125275996.rsc/41775_Uni.sdp
北京卫视,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch15102717162108426467.rsc/30917_Uni.sdp
天津卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch18010423254205139387.rsc/40511_Uni.sdp
河北卫视,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch15102717162108825623.rsc/30958_Uni.sdp
山西卫视,rtsp://27.148.239.102:1554/iptv/import/Tvod/iptv/001/001/ch18051116203766478580.rsc/46437_Uni.sdp
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
辽宁卫视,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch18010423255574195595.rsc/40570_Uni.sdp
吉林卫视,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch18051116194226346624.rsc/46499_Uni.sdp
黑龙江卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15102717162113164781.rsc/31024_Uni.sdp
东方卫视,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch15102717162086242155.rsc/30977_Uni.sdp
江苏卫视,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102717162168388215.rsc/31034_Uni.sdp
浙江卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15102717162191956583.rsc/30936_Uni.sdp
安徽卫视,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch18100816341109258484.rsc/47990_Uni.sdp
江西卫视,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch18010423261264213862.rsc/40629_Uni.sdp
山东卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15111011110075906735.rsc/31023_Uni.sdp
河南卫视,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102717162143318342.rsc/30971_Uni.sdp
湖北卫视,rtsp://27.148.239.102:1554/iptv/import/Tvod/iptv/001/001/ch15111011082361717939.rsc/30915_Uni.sdp
湖南卫视,rtsp://27.148.239.106:1554/iptv/import/Tvod/iptv/001/001/ch15102717162145789452.rsc/30910_Uni.sdp
广东卫视,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102717162184416594.rsc/31006_Uni.sdp
深圳卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch21062510143883918125.rsc/58185_Uni.sdp
广西卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15102717162178038031.rsc/31047_Uni.sdp
海南卫视,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102717162116408744.rsc/31016_Uni.sdp
重庆卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch18111315305080098570.rsc/48709_Uni.sdp
四川卫视,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch18111315332814229891.rsc/48746_Uni.sdp
贵州卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch17041215341272355599.rsc/30955_Uni.sdp
云南卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15102717162125393898.rsc/30954_Uni.sdp
西藏卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch18051116234822851422.rsc/46747_Uni.sdp
陕西卫视,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102717162169622851.rsc/30980_Uni.sdp
甘肃卫视,rtsp://27.148.239.106:1554/iptv/import/Tvod/iptv/001/001/ch18051116230173626842.rsc/46561_Uni.sdp
青海卫视,rtsp://27.148.239.102:1554/iptv/import/Tvod/iptv/001/001/ch15102717162187662339.rsc/30965_Uni.sdp
宁夏卫视,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102717162173773216.rsc/30974_Uni.sdp
新疆卫视,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch18051116232899271583.rsc/46809_Uni.sdp
兵团卫视,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch18051116233733109443.rsc/46685_Uni.sdp
三沙卫视,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch19091709173330412950.rsc/54749_Uni.sdp
大湾区卫视,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch19011109345458761991.rsc/51758_Uni.sdp
数字,#genre#
第一财经,rtsp://27.148.236.129:554/live/ch22071916505770928720.sdp?FccMediaIP=239.61.3.52&FccMediaPort=9830&vcdnid=001&mediaid=ch22071916505770928720&AuthInfo=Jz%2F%2BoxTcEWQ734O5OnSPemBocKqfurBFuoFmlaJTW8yaNSGRDTVcweeJZf1s3yVj0d8RtgP2DayASZlOpMLMaA%3D%3D
纪实人文,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch17081012003923835755.rsc/30906_Uni.sdp
欢笑剧场,rtsp://27.148.239.102:1554/iptv/import/Tvod/iptv/001/001/ch16091400245502369823.rsc/30902_Uni.sdp
都市剧场,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch16091400394519752904.rsc/31046_Uni.sdp
动漫秀场,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch16091400384407142682.rsc/30966_Uni.sdp
游戏风云,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch16091400233071612122.rsc/30932_Uni.sdp
乐游,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch16091400304724147209.rsc/30900_Uni.sdp
法治天地,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15102717162120235919.rsc/31027_Uni.sdp
生活时尚,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch16091400174619400545.rsc/31048_Uni.sdp
东方财经,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15102717162143630769.rsc/30912_Uni.sdp
金色学堂,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch15102717162154158855.rsc/31021_Uni.sdp
中华特产,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch23011621094688160747.rsc/61302_Uni.sdp
车迷频道,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch23011618382381235288.rsc/61080_Uni.sdp
优优宝贝,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch23011620420932000427.rsc/61192_Uni.sdp
环球旅游,rtsp://27.148.239.102:1554/iptv/import/Tvod/iptv/001/001/ch23011620421138055200.rsc/61228_Uni.sdp
生态环境,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch23011620183325317543.rsc/61044_Uni.sdp
百姓健康,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch23011618361727906139.rsc/61006_Uni.sdp
四海钓鱼,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch23011620315277465261.rsc/61118_Uni.sdp
家庭理财,rtsp://27.148.239.106:1554/iptv/import/Tvod/iptv/001/001/ch23011619340696703803.rsc/60970_Uni.sdp
CHC动作电影,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch22091415255480246214.rsc/60545_Uni.sdp
财富天下,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch23011618373496091095.rsc/60932_Uni.sdp
梨园,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch22091416101671606843.rsc/60657_Uni.sdp
文物宝库,rtsp://27.148.239.102:1554/iptv/import/Tvod/iptv/001/001/ch22091416245095951152.rsc/60731_Uni.sdp
武术世界,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch22091416293105555892.rsc/60768_Uni.sdp
嘉佳卡通,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch15102717162106888181.rsc/53900_Uni.sdp
新动漫,rtsp://27.148.239.105:1554/iptv/import/Tvod/iptv/001/001/ch22091416033313032060.rsc/60619_Uni.sdp
中学生,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch23013115204696560987.rsc/61339_Uni.sdp
发现之旅,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch23013116081088855400.rsc/61376_Uni.sdp
老故事,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch23101117043574518040.rsc/62360_Uni.sdp
证券服务,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch23011620572379839314.rsc/61265_Uni.sdp
书画频道,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch23101117041365170817.rsc/62396_Uni.sdp
高网频道,rtsp://27.148.239.102:1554/iptv/import/Tvod/iptv/001/001/ch21061816175629832803.rsc/58029_Uni.sdp
爱上4K,rtsp://27.148.239.106:1554/iptv/import/Tvod/iptv/001/001/ch18122110190633826391.rsc/51363_Uni.sdp
金鹰纪实,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch19040410203183192171.rsc/53725_Uni.sdp
金鹰卡通,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch18051116144984651176.rsc/46375_Uni.sdp
快乐垂钓,rtsp://27.148.239.100:1554/iptv/import/Tvod/iptv/001/001/ch19061315471496603667.rsc/53949_Uni.sdp
先锋乒羽,rtsp://27.148.239.99:1554/iptv/import/Tvod/iptv/001/001/ch22091415575673264280.rsc/60583_Uni.sdp
茶频道,rtsp://27.148.239.103:1554/iptv/import/Tvod/iptv/001/001/ch22083017183582533184.rsc/60023_Uni.sdp
